# ffraud fraudulent networks. Small/medium ASNs where the IPs we OBSERVED were
# overwhelmingly abusive AND proxy/VPN. This reflects observed traffic, not a legal
# judgment of the operator. Corrections: https://ffraud.com/report . No sources named.
asn,organization,ips_observed,abuse_rate_pct,proxy_rate_pct,ffraud_risk_score
58945,Virgo Communication Ltd,203,98.0,79.3,100
6079,RCN,13124,94.4,79.3,100
3491,PCCW Global (HK) Limited,671,96.1,79.3,100
212616,K.M.A ADVANCED TECHNOLOGIES LTD,512,98.4,79.1,100
205489,CODE ASSET LTD,550,99.8,79.1,100
211183,AdminVPS LLC,476,99.2,78.8,100
43991,Voronezh Telecom LLC,249,99.6,78.7,100
57888,Telesat d.o.o.,855,99.6,78.7,100
34814,Osnova-Internet LLC,310,100.0,78.7,100
56791,CityTelekom Ltd.,326,99.4,78.5,100
9002,RETN Limited,775,99.1,78.5,100
50304,Blix Solutions AS,2204,93.4,78.4,100
25467,Akton d.o.o.,240,99.2,78.3,100
211190,QUICKNET LLC,346,99.4,78.3,100
8851,GCI Network Solutions Limited,446,98.9,78.3,100
59165,Auspice Infratel Pvt. Ltd.,238,97.1,78.2,100
212706,LIVI HOSTING LTD,432,99.1,78.0,100
59191,PEERCAST TELECOM INDIA PVT LTD,341,99.1,78.0,100
23352,DEFT.COM,620,99.4,77.9,100
59642,UAB Cherry Servers,656,98.8,77.9,100
36916,X-DSL Networking Solutions,202,98.0,77.7,100
28098,ABGON COMUNICACIONES,453,99.8,77.7,100
49223,EVEREST TV AND RADIO COMPANY LLC,782,99.7,77.6,100
59711,HZ Hosting Ltd,4189,96.5,77.6,100
131627,Peicity Digital Cable Television.  LTD,978,100.0,77.5,100
273217,ACOLME TECH  SRL,568,97.5,77.5,100
213220,Delta Ltd,520,99.4,77.3,100
3308,Norlys Digital A/S,229,100.0,77.3,100
153236,KARNATAKA FASTNET PRIVATE LIMITED,242,98.8,77.3,100
59463,VISION 2008 Ltd.,421,99.3,77.2,100
50077,SYN LTD,539,94.4,77.2,100
270052,ARANDA CARDOZO LIDER RAMON,262,98.9,77.1,100
38794,United Information Highway Co. Ltd.,408,99.0,77.0,100
38193,TRANSWORLD ASSOCIATES (PVT) LIMITED,566,98.4,76.9,100
210976,Timeweb  LLP,3922,98.9,76.8,100
135477,PT. Java Digital Nusantara,315,94.6,76.8,100
25198,INTERKVM HOST SRL,759,98.6,76.5,100
198735,Optimal Solutions Technology Company for information Technology and software so,479,92.9,76.4,100
62610,Zenlayer Inc,2703,99.2,76.3,100
39927,E-Light-Telecom Ltd.,1108,99.0,76.3,100
135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,6572,99.0,76.2,100
263702,GRUPO ZGH SPA,495,96.8,76.2,100
215730,H2NEXUS LTD,2070,94.3,76.1,100
214640,Hostup AB,234,100.0,76.1,100
203680,Araz Tech LLC,353,96.3,75.9,100
51765,Oy Crea Nova Hosting Solution Ltd,1757,96.2,75.8,100
201411,GOKNET iletisim A.S.,558,98.0,75.8,100
213887,WAIcore Ltd,1222,98.0,75.8,100
49791,Newserverlife LLC,697,99.0,75.8,100
2518,BIGLOBE Inc.,2857,99.2,75.6,100
149440,Evoxt Sdn. Bhd.,2505,99.2,75.5,100
9205,SATELIT SERVIS Ltd,281,98.9,75.4,100
34702,Aktsiaselts WaveCom,276,98.6,75.4,100
5511,Orange S.A.,2819,96.6,75.3,100
9137,Uno Communications SpA,291,97.9,75.3,100
201167,Caspian Telecom LLC,424,94.1,75.2,100
400304,Redoubt Networks,214,96.7,75.2,100
51247,Serverio technologijos MB,230,99.1,75.2,100
263829,HOST PARA TU VIDA S.A.,266,98.5,75.2,100
56209,AIRLINK TELESERVICES PRIVATE LIMITED,330,98.8,75.2,100
151338,POLONETWORK LIMITED,221,99.5,75.1,100
209693,OC NETWORKS LIMITED,1068,99.0,75.1,100
17726,Telecom Cambodia (T.C.),309,98.1,75.1,100
25540,Alphalink SASU,244,98.4,75.0,100
216139,Iron Hosting Centre LTD,662,98.0,74.9,100
399646,Snaju Development,499,100.0,74.7,100
56655,Gigahost AS,558,95.3,74.7,100
207567,Intezio Worldwide Limited,316,99.4,74.7,100
213535,YottaSrc,798,98.6,74.4,100
5056,Aureon Network Services,508,97.4,74.4,100
4750,CS Loxinfo Public Company Limited,332,99.1,74.4,100
272102,BESSER SOLUTIONS C.A.,560,99.8,74.3,100
136873,MEGADATA-ISP,462,93.7,74.2,100
7029,Windstream Communications LLC,10661,96.3,74.2,100
135354,NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.,375,100.0,74.1,100
51847,Nearoute Limited,284,99.6,73.9,100
5065,Bunny Communications,5132,93.6,73.9,100
49100,Pishgaman Toseeh Ertebatat Company (Private Joint Stock),1930,99.3,73.9,100
23473,PAVLOV MEDIA INC,347,91.4,73.8,100
48031,Ivanov Vitaliy Sergeevich,1371,98.2,73.6,100
211995,A2Z Technologies CJSC,2532,99.2,73.5,100
210734,IPHOSTER OU,226,97.8,73.5,100
12993,Sabiedriba ar ierobezotu atbildibu DELSKA Latvia,608,99.8,73.4,100
135834,Multicraft Digital Technologies Private Limited,291,99.0,73.2,100
213520,Senko Digital LLC,1010,99.1,73.1,100
63199,CDS Global Cloud Co.  Ltd,1356,97.6,72.9,100
18501,CyberCloud Professionals LLC,214,100.0,72.9,100
28753,Leaseweb Deutschland GmbH,2861,93.4,72.9,100
209207,Digital Hosting Provider LLC,409,95.6,72.9,100
12989,Black HOST Ltd,423,98.8,72.8,100
140815,HTTVSERVER TECHNOLOGY COMPANY LIMITED,279,100.0,72.8,100
199731,Internet Center of Nakhchivan Autonomous Republic,369,93.5,72.6,100
50979,GREEN FLOID LLC,358,97.8,72.6,100
58477,Argon Data Communication,320,97.5,72.5,100
17561,Larus Limited,16800,93.2,72.5,100
58952,Frontiir Co.  Ltd,316,96.2,72.5,100
16347,ADISTA SAS,392,98.2,72.4,100
197893,Elsuhd Company for Communications Services  Cybersecurity  Information Technolo,425,100.0,72.2,100
395092,Shock Hosting LLC,2375,90.2,72.1,100
49325,OOO SET,458,100.0,72.1,100
29049,Delta Telecom Ltd,439,99.8,72.0,100
266742,SOLUCIONES DCN NETWORK C.A,316,97.8,71.8,100
48678,Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi,244,93.4,71.7,100
212136,NUBES LLC,339,99.7,71.7,100
209526,Battersea-Fibre-Boradband-Service Cyber Assets FZCO,254,100.0,71.7,100
266044,Nicnet Telecom Ltda.,584,96.2,71.6,100
20910,SIA BITE Latvija,1796,99.8,71.5,100
138997,Eons Data Communications Limited,604,99.5,71.5,100
49824,PC Astra-net,364,98.1,71.4,100
135918,VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,2725,99.1,71.4,100
205275,ROMARG SRL,209,99.0,71.3,100
198068,P.A.G.M. OU,233,99.6,71.2,100
215346,Big Data Host LLC,306,98.4,71.2,100
199785,Cloud Hosting Solutions  Limited.,628,98.9,71.2,100
44092,HAL Service SpA,827,97.8,71.1,100
24806,INTERNET CZ  a.s.,429,99.3,71.1,100
134319,Elyzium Technologies Pvt. Ltd.,401,97.8,71.1,100
150698,VCORE COMPANY LIMITED,238,95.4,71.0,100
47236,CityLink Ltd,291,99.7,70.8,100
57043,HOSTKEY B.V.,5246,99.0,70.8,100
216154,CLODO CLOUD SERVICE CO. L.L.C,645,99.4,70.7,100
202015,HZ Hosting Ltd,1300,92.2,70.5,100
8254,GREEN FLOID LLC,312,99.0,70.5,100
212280,Storm for Information Technology  Internet Services  Communications  Electronic,362,99.2,70.4,100
38186,Forewin Telecom Group Limited,311,99.7,70.4,100
59253,LEASEWEB SINGAPORE PTE. LTD.,1323,97.0,70.3,100
31257,Orion Telecom LLC,464,99.1,70.3,100
198550,NODE HOST LIMITED,497,99.6,70.2,100
11404,Wave Broadband,4391,98.7,70.2,100
6762,TELECOM ITALIA SPARKLE S.p.A.,740,96.8,70.1,100
48095,XT GLOBAL NETWORKS LTD.,2996,99.6,70.1,100
134294,R P World Telecom Pvt Ltd,244,97.5,70.1,100
